,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,hl,2021 week 9
1,2,net_export,-1e-10,hl,2021 week 9
2,3,net_export,-1e-10,hl,2021 week 9
3,4,net_export,-1e-10,hl,2021 week 9
4,5,net_export,-1e-10,hl,2021 week 9
5,6,net_export,-1e-10,hl,2021 week 9
6,7,net_export,-1e-10,hl,2021 week 9
7,8,net_export,-1e-10,hl,2021 week 9
8,9,net_export,-1e-10,hl,2021 week 9
9,10,net_export,-1e-10,hl,2021 week 9
10,11,net_export,-1e-10,hl,2021 week 9
11,12,net_export,-1e-10,hl,2021 week 9
12,13,net_export,-1e-10,hl,2021 week 9
13,14,net_export,-1e-10,hl,2021 week 9
14,15,net_export,-1e-10,hl,2021 week 9
15,16,net_export,-1e-10,hl,2021 week 9
16,17,net_export,-1e-10,hl,2021 week 9
17,18,net_export,-1e-10,hl,2021 week 9
18,19,net_export,-1e-10,hl,2021 week 9
19,20,net_export,-1e-10,hl,2021 week 9
20,21,net_export,-1e-10,hl,2021 week 9
21,22,net_export,-1e-10,hl,2021 week 9
22,23,net_export,-1e-10,hl,2021 week 9
23,24,net_export,-1e-10,hl,2021 week 9
24,25,net_export,-1e-10,hl,2021 week 9
25,26,net_export,-1e-10,hl,2021 week 9
26,27,net_export,-1e-10,hl,2021 week 9
27,28,net_export,-1e-10,hl,2021 week 9
28,29,net_export,-1e-10,hl,2021 week 9
29,30,net_export,-1e-10,hl,2021 week 9
30,31,net_export,-1e-10,hl,2021 week 9
31,32,net_export,-1e-10,hl,2021 week 9
32,33,net_export,-1e-10,hl,2021 week 9
33,34,net_export,-1e-10,hl,2021 week 9
34,35,net_export,-1e-10,hl,2021 week 9
35,36,net_export,-1e-10,hl,2021 week 9
36,37,net_export,-1e-10,hl,2021 week 9
37,38,net_export,-1e-10,hl,2021 week 9
38,39,net_export,-1e-10,hl,2021 week 9
39,40,net_export,-1e-10,hl,2021 week 9
40,41,net_export,-1e-10,hl,2021 week 9
41,42,net_export,-1e-10,hl,2021 week 9
42,43,net_export,-1e-10,hl,2021 week 9
43,44,net_export,-1e-10,hl,2021 week 9
44,45,net_export,-1e-10,hl,2021 week 9
45,46,net_export,-1e-10,hl,2021 week 9
46,47,net_export,-1e-10,hl,2021 week 9
47,48,net_export,-1e-10,hl,2021 week 9
48,49,net_export,-1e-10,hl,2021 week 9
49,50,net_export,-1e-10,hl,2021 week 9
50,51,net_export,-1e-10,hl,2021 week 9
51,52,net_export,-1e-10,hl,2021 week 9
52,53,net_export,-1e-10,hl,2021 week 9
53,54,net_export,-1e-10,hl,2021 week 9
54,55,net_export,-1e-10,hl,2021 week 9
55,56,net_export,-1e-10,hl,2021 week 9
56,57,net_export,-1e-10,hl,2021 week 9
57,58,net_export,-1e-10,hl,2021 week 9
58,59,net_export,-1e-10,hl,2021 week 9
59,60,net_export,-1e-10,hl,2021 week 9
60,61,net_export,-1e-10,hl,2021 week 9
61,62,net_export,-1e-10,hl,2021 week 9
62,63,net_export,-1e-10,hl,2021 week 9
63,64,net_export,-1e-10,hl,2021 week 9
64,65,net_export,-1e-10,hl,2021 week 9
65,66,net_export,-1e-10,hl,2021 week 9
66,67,net_export,-1e-10,hl,2021 week 9
67,68,net_export,-1e-10,hl,2021 week 9
68,69,net_export,-1e-10,hl,2021 week 9
69,70,net_export,-1e-10,hl,2021 week 9
70,71,net_export,-1e-10,hl,2021 week 9
71,72,net_export,-1e-10,hl,2021 week 9
72,73,net_export,-1e-10,hl,2021 week 9
73,74,net_export,-1e-10,hl,2021 week 9
74,75,net_export,-1e-10,hl,2021 week 9
75,76,net_export,-1e-10,hl,2021 week 9
76,77,net_export,-1e-10,hl,2021 week 9
77,78,net_export,-1e-10,hl,2021 week 9
78,79,net_export,-1e-10,hl,2021 week 9
79,80,net_export,-1e-10,hl,2021 week 9
80,81,net_export,-1e-10,hl,2021 week 9
81,82,net_export,-1e-10,hl,2021 week 9
82,83,net_export,-1e-10,hl,2021 week 9
83,84,net_export,-1e-10,hl,2021 week 9
84,85,net_export,-1e-10,hl,2021 week 9
85,86,net_export,-1e-10,hl,2021 week 9
86,87,net_export,-1e-10,hl,2021 week 9
87,88,net_export,-1e-10,hl,2021 week 9
88,89,net_export,-1e-10,hl,2021 week 9
89,90,net_export,-1e-10,hl,2021 week 9
90,91,net_export,-1e-10,hl,2021 week 9
91,92,net_export,-1e-10,hl,2021 week 9
92,93,net_export,-37.4405227261508,hl,2021 week 9
93,94,net_export,-68.04867522011821,hl,2021 week 9
94,95,net_export,-256.03042358040074,hl,2021 week 9
95,96,net_export,-1e-10,hl,2021 week 9
96,97,net_export,-1e-10,hl,2021 week 9
97,98,net_export,-1e-10,hl,2021 week 9
98,99,net_export,-1e-10,hl,2021 week 9
99,100,net_export,-1e-10,hl,2021 week 9
100,101,net_export,-1e-10,hl,2021 week 9
101,102,net_export,-1e-10,hl,2021 week 9
102,103,net_export,-1e-10,hl,2021 week 9
103,104,net_export,-1e-10,hl,2021 week 9
104,105,net_export,-1e-10,hl,2021 week 9
105,106,net_export,-1e-10,hl,2021 week 9
106,107,net_export,-1e-10,hl,2021 week 9
107,108,net_export,-1e-10,hl,2021 week 9
108,109,net_export,-1e-10,hl,2021 week 9
109,110,net_export,-1e-10,hl,2021 week 9
110,111,net_export,-1e-10,hl,2021 week 9
111,112,net_export,-1e-10,hl,2021 week 9
112,113,net_export,-1e-10,hl,2021 week 9
113,114,net_export,-1e-10,hl,2021 week 9
114,115,net_export,-1e-10,hl,2021 week 9
115,116,net_export,-1e-10,hl,2021 week 9
116,117,net_export,-1e-10,hl,2021 week 9
117,118,net_export,-1e-10,hl,2021 week 9
118,119,net_export,-1e-10,hl,2021 week 9
119,120,net_export,-1e-10,hl,2021 week 9
120,121,net_export,-1e-10,hl,2021 week 9
121,122,net_export,-1e-10,hl,2021 week 9
122,123,net_export,-1e-10,hl,2021 week 9
123,124,net_export,-1e-10,hl,2021 week 9
124,125,net_export,-1e-10,hl,2021 week 9
125,126,net_export,-1e-10,hl,2021 week 9
126,127,net_export,-1e-10,hl,2021 week 9
127,128,net_export,-1e-10,hl,2021 week 9
128,129,net_export,-1e-10,hl,2021 week 9
129,130,net_export,-1e-10,hl,2021 week 9
130,131,net_export,-1e-10,hl,2021 week 9
131,132,net_export,-1e-10,hl,2021 week 9
132,133,net_export,-1e-10,hl,2021 week 9
133,134,net_export,-1e-10,hl,2021 week 9
134,135,net_export,-1e-10,hl,2021 week 9
135,136,net_export,-1e-10,hl,2021 week 9
136,137,net_export,-1e-10,hl,2021 week 9
137,138,net_export,-1e-10,hl,2021 week 9
138,139,net_export,-1e-10,hl,2021 week 9
139,140,net_export,-1e-10,hl,2021 week 9
140,141,net_export,-1e-10,hl,2021 week 9
141,142,net_export,-1e-10,hl,2021 week 9
142,143,net_export,-1e-10,hl,2021 week 9
143,144,net_export,-1e-10,hl,2021 week 9
144,145,net_export,-1e-10,hl,2021 week 9
145,146,net_export,-1e-10,hl,2021 week 9
146,147,net_export,-1e-10,hl,2021 week 9
147,148,net_export,-1e-10,hl,2021 week 9
148,149,net_export,-1e-10,hl,2021 week 9
149,150,net_export,-1e-10,hl,2021 week 9
150,151,net_export,-1e-10,hl,2021 week 9
151,152,net_export,-1e-10,hl,2021 week 9
152,153,net_export,-1e-10,hl,2021 week 9
153,154,net_export,-1e-10,hl,2021 week 9
154,155,net_export,-1e-10,hl,2021 week 9
155,156,net_export,-1e-10,hl,2021 week 9
156,157,net_export,-1e-10,hl,2021 week 9
157,158,net_export,-1e-10,hl,2021 week 9
158,159,net_export,-1e-10,hl,2021 week 9
159,160,net_export,-1e-10,hl,2021 week 9
160,161,net_export,-1e-10,hl,2021 week 9
161,162,net_export,-1e-10,hl,2021 week 9
162,163,net_export,-1e-10,hl,2021 week 9
163,164,net_export,-1e-10,hl,2021 week 9
164,165,net_export,-1e-10,hl,2021 week 9
165,166,net_export,-1e-10,hl,2021 week 9
166,167,net_export,-1e-10,hl,2021 week 9
167,168,net_export,-1e-10,hl,2021 week 9
168,1,charge,-1e-10,hl,2021 week 9
169,2,charge,-1e-10,hl,2021 week 9
170,3,charge,-1e-10,hl,2021 week 9
171,4,charge,-1e-10,hl,2021 week 9
172,5,charge,-1e-10,hl,2021 week 9
173,6,charge,-1e-10,hl,2021 week 9
174,7,charge,-1e-10,hl,2021 week 9
175,8,charge,-1e-10,hl,2021 week 9
176,9,charge,-1e-10,hl,2021 week 9
177,10,charge,-1e-10,hl,2021 week 9
178,11,charge,-1e-10,hl,2021 week 9
179,12,charge,-1e-10,hl,2021 week 9
180,13,charge,-1e-10,hl,2021 week 9
181,14,charge,-1e-10,hl,2021 week 9
182,15,charge,-1e-10,hl,2021 week 9
183,16,charge,-1e-10,hl,2021 week 9
184,17,charge,-1e-10,hl,2021 week 9
185,18,charge,-1e-10,hl,2021 week 9
186,19,charge,-1e-10,hl,2021 week 9
187,20,charge,-1e-10,hl,2021 week 9
188,21,charge,-1e-10,hl,2021 week 9
189,22,charge,-1e-10,hl,2021 week 9
190,23,charge,-1e-10,hl,2021 week 9
191,24,charge,-1e-10,hl,2021 week 9
192,25,charge,-1e-10,hl,2021 week 9
193,26,charge,-1e-10,hl,2021 week 9
194,27,charge,-1e-10,hl,2021 week 9
195,28,charge,-1e-10,hl,2021 week 9
196,29,charge,-1e-10,hl,2021 week 9
197,30,charge,-1e-10,hl,2021 week 9
