,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,ln,2021 week 1
1,2,net_export,-1e-10,ln,2021 week 1
2,3,net_export,-1e-10,ln,2021 week 1
3,4,net_export,-1e-10,ln,2021 week 1
4,5,net_export,-1e-10,ln,2021 week 1
5,6,net_export,-1e-10,ln,2021 week 1
6,7,net_export,-1e-10,ln,2021 week 1
7,8,net_export,-1e-10,ln,2021 week 1
8,9,net_export,-1e-10,ln,2021 week 1
9,10,net_export,-1e-10,ln,2021 week 1
10,11,net_export,-1e-10,ln,2021 week 1
11,12,net_export,-1e-10,ln,2021 week 1
12,13,net_export,-1e-10,ln,2021 week 1
13,14,net_export,-1e-10,ln,2021 week 1
14,15,net_export,-1e-10,ln,2021 week 1
15,16,net_export,-1e-10,ln,2021 week 1
16,17,net_export,-1e-10,ln,2021 week 1
17,18,net_export,-1e-10,ln,2021 week 1
18,19,net_export,-1e-10,ln,2021 week 1
19,20,net_export,-1e-10,ln,2021 week 1
20,21,net_export,-1e-10,ln,2021 week 1
21,22,net_export,-1e-10,ln,2021 week 1
22,23,net_export,-1e-10,ln,2021 week 1
23,24,net_export,-1e-10,ln,2021 week 1
24,25,net_export,-1e-10,ln,2021 week 1
25,26,net_export,-1e-10,ln,2021 week 1
26,27,net_export,-1e-10,ln,2021 week 1
27,28,net_export,-1e-10,ln,2021 week 1
28,29,net_export,-1e-10,ln,2021 week 1
29,30,net_export,-1e-10,ln,2021 week 1
30,31,net_export,-1e-10,ln,2021 week 1
31,32,net_export,-1e-10,ln,2021 week 1
32,33,net_export,-1e-10,ln,2021 week 1
33,34,net_export,-1e-10,ln,2021 week 1
34,35,net_export,-1e-10,ln,2021 week 1
35,36,net_export,-1e-10,ln,2021 week 1
36,37,net_export,-1e-10,ln,2021 week 1
37,38,net_export,-1e-10,ln,2021 week 1
38,39,net_export,-1e-10,ln,2021 week 1
39,40,net_export,-1e-10,ln,2021 week 1
40,41,net_export,-1e-10,ln,2021 week 1
41,42,net_export,-1e-10,ln,2021 week 1
42,43,net_export,-1e-10,ln,2021 week 1
43,44,net_export,-1e-10,ln,2021 week 1
44,45,net_export,-1e-10,ln,2021 week 1
45,46,net_export,-1e-10,ln,2021 week 1
46,47,net_export,-1e-10,ln,2021 week 1
47,48,net_export,-1e-10,ln,2021 week 1
48,49,net_export,-1e-10,ln,2021 week 1
49,50,net_export,-1e-10,ln,2021 week 1
50,51,net_export,-1e-10,ln,2021 week 1
51,52,net_export,-1e-10,ln,2021 week 1
52,53,net_export,-1e-10,ln,2021 week 1
53,54,net_export,-1e-10,ln,2021 week 1
54,55,net_export,-1e-10,ln,2021 week 1
55,56,net_export,-1e-10,ln,2021 week 1
56,57,net_export,-1e-10,ln,2021 week 1
57,58,net_export,-1e-10,ln,2021 week 1
58,59,net_export,-1e-10,ln,2021 week 1
59,60,net_export,-1e-10,ln,2021 week 1
60,61,net_export,-1e-10,ln,2021 week 1
61,62,net_export,-1e-10,ln,2021 week 1
62,63,net_export,-1e-10,ln,2021 week 1
63,64,net_export,-1e-10,ln,2021 week 1
64,65,net_export,-1e-10,ln,2021 week 1
65,66,net_export,-1e-10,ln,2021 week 1
66,67,net_export,-1e-10,ln,2021 week 1
67,68,net_export,-1e-10,ln,2021 week 1
68,69,net_export,-1e-10,ln,2021 week 1
69,70,net_export,-1e-10,ln,2021 week 1
70,71,net_export,-1e-10,ln,2021 week 1
71,72,net_export,-1e-10,ln,2021 week 1
72,73,net_export,-1e-10,ln,2021 week 1
73,74,net_export,-1e-10,ln,2021 week 1
74,75,net_export,-1e-10,ln,2021 week 1
75,76,net_export,-1e-10,ln,2021 week 1
76,77,net_export,-1e-10,ln,2021 week 1
77,78,net_export,-1e-10,ln,2021 week 1
78,79,net_export,-1e-10,ln,2021 week 1
79,80,net_export,-1e-10,ln,2021 week 1
80,81,net_export,-1e-10,ln,2021 week 1
81,82,net_export,-1e-10,ln,2021 week 1
82,83,net_export,-1e-10,ln,2021 week 1
83,84,net_export,-1e-10,ln,2021 week 1
84,85,net_export,-1e-10,ln,2021 week 1
85,86,net_export,-1e-10,ln,2021 week 1
86,87,net_export,-1e-10,ln,2021 week 1
87,88,net_export,-1e-10,ln,2021 week 1
88,89,net_export,-1e-10,ln,2021 week 1
89,90,net_export,-1e-10,ln,2021 week 1
90,91,net_export,-1e-10,ln,2021 week 1
91,92,net_export,-1e-10,ln,2021 week 1
92,93,net_export,-1e-10,ln,2021 week 1
93,94,net_export,-1e-10,ln,2021 week 1
94,95,net_export,-1e-10,ln,2021 week 1
95,96,net_export,-1e-10,ln,2021 week 1
