Index,Zone,Region,Resource,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168
92,1,HL,onshore_wind_turbine,828.8652905612896,747.1201905613449,509.34999999999997,233.8,58.45,8.35,0.0,0.0,8.35,16.7,58.45,167.0,334.0,526.05,526.05,375.75,342.35,300.59999999999997,559.45,768.1999999999999,1002.0,1302.6,1561.45,1077.15,743.15,492.65,292.25,125.25,25.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.35,33.4,83.5,183.69999999999993,684.7,2621.9,3381.75,3314.9500000000003,2980.95,2697.05,2494.043379062437,2649.1483931519174,2568.360893151916,2530.0499999999997,2413.1499999999996,2112.55,1970.6,1703.3999999999999,1678.3500000000001,2722.0999999999995,2880.75,2697.0499999999997,2797.25,2955.8999999999996,2805.6000000000004,2054.1,1235.8,976.95,1452.8999999999999,2404.7999999999997,2229.4500000000003,1895.45,1619.9,1553.1,1444.55,1177.35,976.95,793.25,617.9,475.95000000000005,267.2,41.75,8.35,192.04999999999995,601.2,1002.0,1227.45,1611.5500000000002,2054.1,2363.0499999999997,1962.2499999999998,1352.7,1586.5,2070.8,1811.95,1361.05,1260.85,1285.9,1352.7,1486.3,1807.2330963427298,1807.2330963427298,1807.2330963427298,2139.818696342733,1803.6,1219.1,1636.6,2229.4500000000003,2980.95,3391.145892117093,3765.85,3523.7,2763.8500000000004,1411.15,843.35,918.5,1753.5,2221.1,1920.5,1745.1499999999999,1519.7,1369.4,1386.1000000000001,1486.3,1469.6,1486.3,1361.05,1361.05,1035.4,860.05,1202.4,1903.8000000000002,2530.0499999999993,3390.1000000000004,4133.25,4258.5,3582.15,2930.85,2530.0499999999997,1753.5,1745.1499999999999,1937.2,1486.3,1260.85,1194.05,1018.6999999999999,559.45,133.6,16.7,0.0,0.0,0.0,0.0,0.0,0.0,50.09999999999991,300.5999999999999,885.0999999999999,1536.3999999999999,2054.1,2363.0499999999993,1953.9,1294.25,1260.85,1511.35,1745.1499999999999,1477.9499999999998,960.25,592.8499999999999,158.65,0.0
93,1,HL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,147.0,609.0,1029.0,1327.2,1507.8,1894.2,1961.4,1843.8000000000002,1486.8,1045.8,869.4000000000001,478.80000000000007,155.40000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,680.4,1335.6,1932.0,2356.2000000000003,2490.6,2528.4,2284.8,2171.4,1927.8000000000002,1499.3999999999999,764.4,193.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.8,327.60000000000014,852.6000000000001,1444.8,2003.3999999999999,2364.6,2683.8,2608.2,2322.6000000000004,1772.4,915.6000000000001,289.8,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.400000000000002,268.8,781.2,1276.8,1398.6000000000001,1663.1999999999998,1801.8,1953.0,1986.6,1751.4,1226.3999999999999,520.8,151.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.19999999999999,592.1999999999998,1209.6,1801.7999999999997,2272.2,2570.4,2218.9903663427754,1444.6587663427654,1856.3999999999996,961.8000000000001,457.80000000000007,226.79999999999995,67.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.19999999999999,617.3999999999999,1293.6,1659.0,1659.0,1654.8000000000002,1528.8,217.88735535292926,1674.9810543797716,1377.6,907.2000000000003,575.4000000000001,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.4,705.6,1478.3999999999999,2209.2000000000003,2746.8,3024.0,3124.8,2738.4,1965.6000000000001,1608.6,1360.8000000000002,760.1999999999999,172.20000000000002,0.0,0.0,0.0,0.0,0.0,0.0
174,2,IME,onshore_wind_turbine,8851.14,9690.3,10469.52,11210.398790944268,11317.397348198492,12827.16,8951.04,4435.56,4255.74,4955.04,4815.18,4455.54,3736.2599999999998,2377.62,919.08,0.0,0.0,0.0,3436.56,6393.6,7252.74,7252.74,6853.14,6393.6,7552.44,8211.779999999999,6853.14,5794.2,5614.38,6233.76,6193.8,5674.32,4635.360000000001,4915.08,4555.4400000000005,4375.62,4195.8,4175.82,4115.88,3896.1,3616.38,3056.94,2937.06,3596.4,4595.400000000001,4415.58,3016.98,1478.52,239.76,0.0,0.0,239.76,1058.94,1098.9,206.74558818181845,0.0,0.0,0.0,0.0,2337.6600000000003,3216.7799999999997,3356.6400000000003,2937.06,2137.8599999999997,1238.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.98,1238.76,3776.22,5734.259999999999,6693.3,6573.42,4375.62,4435.56,3016.98,1278.72,0.0,1358.64,2477.5199999999995,3856.14,5534.46,7112.88,7492.5,6513.4800000000005,6633.360000000001,8071.92,9130.86,9670.32,9950.04,10189.8,10309.68,10329.66,10269.72,10389.6,11008.980000000001,11048.94,10429.56,12767.22,14585.4,14625.36,14245.74,14545.44,15424.56,16223.76,16663.32,16683.3,16283.699999999999,15084.9,14345.64,14245.74,13326.66,12547.44,12327.66,12527.46,12967.02,13346.640000000001,13466.52,13686.300000000001,13786.199999999999,13726.26,12087.9,15764.220000000001,17082.9,16883.1,16203.779999999999,15396.349870986875,15624.36,14445.539999999999,13126.86,12727.26,11488.5,8571.42,7072.92,7452.54,8691.3,9830.16,10629.36,10949.04,10949.04,10569.42,10189.8,10229.76,10749.24,11248.74,8071.92,3556.44,6633.360000000001,6873.12,5974.0199999999995,5634.36,5794.2,6413.58,7312.68,7752.24,6633.360000000001,3836.16,3776.22,4475.52,5234.76,5954.04,6693.3,7772.22
175,2,IME,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,6.048,229.82399999999998,828.576,1400.112,1835.568,2125.8719999999994,2277.072,2289.168,2171.232,1914.192,1007.617819090909,300.08083363636376,0.0,36.288000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.336,133.05599999999959,247.96799999999985,387.072,595.7280000000001,734.832,780.192,756.0,710.64,520.1280000000002,402.192,220.75199999999998,48.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.86399999999999,0.0,602.0718963636364,1024.2602245454545,1797.516827272727,2153.0879999999993,2068.416,1799.28,1620.864,1248.912,633.9970327272727,179.02716000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.07999999999993,371.952,595.7280000000001,1106.7839999999999,1469.7828409090907,1696.4640000000002,1684.3680000000002,1333.5840000000003,1176.336,861.8399999999999,486.86400000000003,181.4399999999996,21.167999999999665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.480000000000004,166.3199999999997,305.42400000000004,465.6959999999999,610.8480000000001,710.6399999999994,870.9119999999999,895.1040000000012,798.3359999999993,686.448,553.3920000000016,290.30400000000003,39.312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.72,335.664,412.5534844844369,765.072,1372.896,1753.9199999999998,1541.6948007702813,1859.76,1333.584,997.9200000000001,638.064,266.11199999999997,30.23999999999978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.2479999999996,556.4159999999997,1309.392,1811.3759999999993,2077.4880000000003,1974.6719999999996,2013.9840000000002,2098.656000000001,1905.1200000000008,1472.6879999999999,991.8720000000001,408.24,27.215999999999998,0.0,0.0,0.0,0.0,0.0
248,3,JL,onshore_wind_turbine,4535.3,4588.5,4728.15,4615.099999999999,4448.85,4189.5,3883.6,3059.0,3211.95,2759.75,2706.5499999999997,2493.75,2187.85,1975.0499999999997,1875.2999999999997,1815.4500000000003,1835.4,1928.4999999999995,1995.0,2440.5499999999997,2932.65,2580.2000000000003,1669.15,1443.05,1975.05,2892.75,3584.3500000000004,3637.55,3537.8,3211.95,2739.7999999999997,1815.45,1030.75,618.4500000000003,711.55,1150.4499999999998,798.0,518.7,625.1,731.5,824.6,791.3499999999999,684.9499999999999,1163.75,1709.05,1542.8000000000002,1143.8,844.5500000000001,704.9,678.3,651.7,498.75,272.65000000000003,113.05000000000001,46.550000000000004,13.299999999999955,0.0,0.0,0.0,0.0,0.0,13.3,152.95,339.14999999999986,505.40000000000003,665.0,970.9,2114.7,2553.6,1855.3500000000001,1256.85,977.55,897.7500000000001,877.8000000000001,891.1,811.3,704.9,598.5,532.0,365.75,46.550000000000004,0.0,0.0,26.6,126.34999999999991,266.0,399.0,478.79999999999984,478.8,412.3,392.34999999999997,871.1500000000001,1596.0,1935.1499999999999,1888.6,1642.55,1456.35,1323.3500000000001,1216.95,1010.8,751.45,512.05,332.5,219.45000000000002,53.2,19.95,0.0,0.0,0.0,0.0,13.299999999999955,59.849999999999994,93.10000000000001,86.45,186.20000000000002,1389.85,3770.5499999999997,4395.650000000001,4422.25,4096.4,3790.4999999999995,3630.9,3564.4,3431.4,3311.7,3225.25,3165.3999999999996,2354.0999999999995,1157.1,1170.3999999999999,1522.85,1556.1000000000001,1469.65,1323.3500000000001,1137.15,977.55,791.3499999999999,638.4,565.25,764.75,1083.95,1363.25,1569.3999999999999,1762.25,2061.5,2560.25,3065.65,3438.05,3637.55,3670.8,3571.05,2580.2000000000003,1083.95,1496.25,2759.75,3251.85,3584.3500000000004,3823.7499999999995,3963.3999999999996,3990.0,3870.2999999999997,3617.6000000000004,3138.7999999999997,2806.2999999999997,2819.6,2360.75,1729.0,0.0
249,3,JL,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,86.5,519.0000000000005,1152.18,1719.62,2134.8199999999997,2394.3199999999993,2491.2,2442.7599999999998,2228.2400000000002,1844.1799999999998,1352.8600000000001,709.2999999999997,217.98,3.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.82000000000001,363.3,854.6200000000001,1370.1599999999999,1598.52,1515.4799999999998,1342.48,1404.7600000000002,1349.4,733.5199999999999,283.72,107.25999999999999,24.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.74000000000001,415.2,937.6600000000001,1432.4399999999998,2003.34,2186.72,2127.9,1518.94,1546.6200000000001,1397.8400000000001,930.74,363.3,69.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.27999999999997,470.56000000000006,1110.66,1709.24,2152.12,2425.46,2522.34,2446.22,2100.22,1491.26,747.36,370.21999999999997,121.09999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.65999999999997,525.92,1186.7800000000002,1768.06,2193.64,2449.68,2546.56,2435.8399999999997,2176.34,1761.14,1093.36,595.12,176.45999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.44,505.15999999999997,1159.1000000000001,1743.8399999999997,2176.34,2442.7599999999998,2553.4799999999996,2428.92,2103.6799999999994,1664.2599999999998,1131.4200000000003,460.18,100.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.98,515.54,1186.7800000000002,1802.66,2255.92,2525.7999999999993,2636.52,2595.0,2377.02,1982.58,1390.92,712.7599999999998,186.84,0.0,0.0,0.0,0.0,0.0,0.0
376,4,LN,onshore_wind_turbine,7543.78,7652.48,7445.950000000001,6935.06,6761.14,5935.02,4261.04,5108.9,5967.63,6500.259999999999,7108.9800000000005,7282.9,7337.250000000001,7728.57,8206.849999999999,8293.81,7815.53,6826.36,5978.500000000001,5478.4800000000005,5141.509999999999,5011.070000000001,4782.8,4261.04,3543.6200000000003,2478.36,1087.0,554.37,826.12,945.6899999999999,673.9399999999999,706.55,641.3299999999999,217.4,32.61,228.2700000000001,467.40999999999997,597.85,358.71000000000004,76.09,0.0,0.0,0.0,10.870000000000001,21.740000000000002,119.57,880.47,2293.5699999999997,3380.57,3978.42,4130.6,4076.25,3815.37,3271.87,1760.94,1391.3600000000001,2206.6100000000006,3456.66,4521.92,4989.33,4902.369999999999,4304.52,2521.84,1347.8799999999999,1891.3799999999999,5500.22,8435.12,8326.42,6424.17,3869.72,3456.66,3543.6200000000003,3217.52,3271.87,3424.05,3739.2799999999997,3674.0600000000004,2847.94,1184.83,804.38,1076.13,2032.69,3815.37,4934.9800000000005,5348.04,5380.649999999999,5380.65,5130.639999999999,3652.32,3217.52,4761.06,6489.389999999999,6489.389999999999,5239.34,4304.52,4217.56,4554.53,4728.45,4663.23,4565.4,4641.49,4456.7,2206.61,891.34,2760.98,4478.439999999999,4413.22,4782.8,5467.609999999999,6098.070000000001,6174.160000000001,5271.95,3282.74,2750.11,2793.59,2445.75,2282.7,2271.83,2293.5699999999997,2380.53,2663.15,3032.7300000000005,3184.91,3184.91,3761.0199999999995,4478.44,2815.33,1315.27,3282.74,5500.219999999999,5337.17,4532.79,3956.68,4391.4800000000005,4543.66,3695.8,2510.9700000000003,2434.88,2750.11,2815.33,2750.11,2554.45,2554.45,2793.59,3087.08,3261.0,3239.2599999999998,3010.9900000000002,2587.06,2315.31,1163.09,532.6299999999999,1652.24,2347.9200000000005,2206.6099999999997,1934.8600000000001,1728.33,1543.54,1402.23,1239.18,739.1600000000001,239.14,10.870000000000001,32.61,326.09999999999997,1510.93,3380.57,4934.9800000000005
377,4,LN,solar_photovoltaic,0.0,0.0,0.0,0.0,0.0,23.900000000000002,382.40000000000003,1037.26,1739.9199999999998,2303.96,2648.12,2977.94,3025.7400000000007,2777.18,2342.2,1725.58,1003.8,253.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.03999999999996,305.92,1108.96,807.82,650.08,889.08,1567.8400000000001,2619.44,2576.42,1854.64,908.2,325.04,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.24,535.36,1376.6399999999999,2165.34,2719.8199999999997,2695.9199999999996,2155.78,1252.3600000000001,951.22,999.02,583.1600000000001,272.46000000000026,162.52,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.46,549.7,1414.8799999999997,2289.62,2954.0399999999995,3379.46,3575.4399999999996,3551.54,3298.2,2796.2999999999993,2103.2,1252.3600000000001,401.52,9.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.900000000000002,540.14,1472.2399999999998,2327.86,2977.94,3403.3599999999997,3594.5600000000004,3561.1,3302.9799999999987,2820.2,2064.96,1128.08,363.2800000000002,4.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.900000000000002,530.58,1462.6799999999998,2308.74,2949.2599999999998,3374.68,3565.88,3522.86,3255.1800000000003,2738.9399999999996,1926.3400000000001,860.4,162.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.12,454.10000000000014,1347.9599999999998,2256.16,2911.02,3336.4399999999996,3541.98,3503.74,3140.46,2413.9,1754.26,1137.6399999999999,363.28,4.78,0.0,0.0,0.0,0.0,0.0
81,1,HL,conventional_hydroelectric,680.659469,380.3689379999439,526.8375860000001,226.547055,-2.2737367544323206e-13,-2.2737367544323206e-13,127.38381364201928,229.17798635797976,-2.2737367544323206e-13,-2.2737367544323206e-13,488.9327387670014,550.8836473419115,300.829455916823,69.3139262520906,34.390684827000086,-2.2737367544323206e-13,650.3730735656202,1035.45,778.5830636420185,1035.45,1035.45,1035.45,1013.4007087669991,723.2509136305027,477.7187939298525,400.227674229203,272.5615345285529,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,534.1775176943102,482.8663353886204,228.69032436819202,-2.2737367544323206e-13,351.7014041193386,263.2448044186897,-2.2737367544323206e-13,600.5310620000002,300.24053100000015,-2.2737367544323206e-13,720.5480642210107,1035.45,735.159469,1035.45,1035.45,1035.45,1035.45,735.1594689999527,434.86893799990537,134.5784069998599,145.07963784812932,-2.2737367544323206e-13,-2.2737367544323206e-13,43.297496086829824,-2.2737367544323206e-13,789.7094689999997,703.6382326586811,437.13876632934057,1035.45,735.159469,434.86893799999996,134.57840699999997,-2.2737367544323206e-13,-2.2737367544323206e-13,789.7094689999997,1035.45,842.8960770868323,542.6055460868322,1035.45,1035.45,937.7066636706584,649.6224573413168,673.5967318409214,373.3062008409213,73.01566984092119,-2.2737367544323206e-13,-2.2737367544323206e-13,427.7977722995977,680.502944049337,542.0497157990761,264.5582516391785,-2.2737367544323206e-13,623.0577439999995,1035.45,735.159469,453.02846870040025,152.73793770040015,-2.2737367544323206e-13,780.5858039108518,871.2482456605892,570.9577146605892,682.295056410328,1035.45,1035.45,1035.45,1035.45,1035.45,735.1594689999508,600.5810620001,300.2905310000508,-2.2737367544323206e-13,245.74053100000015,1035.45,1035.45,1035.45,771.0035611170003,600.58106200018,300.29053100008537,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,8.396201534742659,798.1056705347426,1035.45,735.159469,466.10173340128927,1035.45,1035.45,1035.45,1035.45,1035.45,735.159469,434.86893799999996,249.71636771273643,-2.2737367544323206e-13,245.74053100000015,1035.45,922.4885448306198,854.7064896612396,856.8957952020298,900.871593,600.581062,300.2905309999999,-2.2737367544323206e-13,-2.2737367544323206e-13,-2.2737367544323206e-13,508.97029779797117,783.5969726285932,483.30644162859323,792.2098164592128,1035.45,959.5951018841954,860.8078696821638,560.5173386821638,480.18810401162364,183.8670693410818,154.4960346705409,-2.2737367544323206e-13,48.429165329460375,85.70276592829964,462.81364970688855,941.4149199999999,861.8070994011605,1035.45,1035.45,735.159469,434.86893799999996,134.57840699999997,-2.2737367544323206e-13,-2.2737367544323206e-13,301.1037005988421,508.5593401762701,208.26880917627,662.7941962214111,697.3446200000001,491.9830388023204,240.03829940116043,980.9500000000003
134,2,IME,conventional_hydroelectric,313.45,247.19382099999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,123.6182290611321,57.362050061132095,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,66.20617899999996,313.45,313.45,313.45,247.19382099999999,180.93764199999998,265.0247159999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,67.5370739999999,1.28089499999993,265.0247159999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,66.20617899999996,66.20617899999996,265.0247159999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,49.70617899999996,313.45,247.19382099999999,180.93764199999998,114.68146299999998,48.42528399999998,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,66.20617899999996,313.45,313.45,313.45,313.45,247.19382099999999,180.93764199999998,114.68146299999998,48.42528399999998,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,30.35670707023354,294.1005280702336,313.45,247.19382099999999,313.45,247.19382099999999,180.93764199999998,114.68146299999998,66.20617899999996,66.20617899999996,236.13958007083065,313.45,313.45,313.45,247.19382099999999,180.93764199999998,190.20268818243366,126.7827343648674,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,263.74382099999997,313.45,247.19382099999999,180.93764199999998,313.45,265.0247159999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,10.178473210276422,60.18802678972355,-5.684341886080802e-14,49.70617899999996,313.45,313.45,313.45,265.0247159999999,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,49.70617899999996,313.45,247.19382099999999,180.93764199999998,114.68146299999998,198.76853699999992,132.51235799999992,66.25617899999992,-5.684341886080802e-14,2.689052274727999,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,66.20617899999996,216.00549500000005,313.45,313.45,247.19382099999999,180.93764199999998,114.68146299999998,48.42528399999998,2.633697601734127,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,263.74382099999997,197.48764199999997,131.23146299999996,274.2378199999982,207.98164099999818,141.72546199999817,132.51235799999992,66.25617899999992,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,-5.684341886080802e-14,49.70617899999996,313.45,313.45,313.45,296.95000000000005
