,hour,tech,dispatch,zone,period
0,1,net_export,-1e-10,ln,2021 week 8
1,2,net_export,-1e-10,ln,2021 week 8
2,3,net_export,-1e-10,ln,2021 week 8
3,4,net_export,-1e-10,ln,2021 week 8
4,5,net_export,-1e-10,ln,2021 week 8
5,6,net_export,-1e-10,ln,2021 week 8
6,7,net_export,-1e-10,ln,2021 week 8
7,8,net_export,-1e-10,ln,2021 week 8
8,9,net_export,-1e-10,ln,2021 week 8
9,10,net_export,-1e-10,ln,2021 week 8
10,11,net_export,-1e-10,ln,2021 week 8
11,12,net_export,-1e-10,ln,2021 week 8
12,13,net_export,-1e-10,ln,2021 week 8
13,14,net_export,-1e-10,ln,2021 week 8
14,15,net_export,-1e-10,ln,2021 week 8
15,16,net_export,-1e-10,ln,2021 week 8
16,17,net_export,-1e-10,ln,2021 week 8
17,18,net_export,-1e-10,ln,2021 week 8
18,19,net_export,-1e-10,ln,2021 week 8
19,20,net_export,-1e-10,ln,2021 week 8
20,21,net_export,-1e-10,ln,2021 week 8
21,22,net_export,-1e-10,ln,2021 week 8
22,23,net_export,-1e-10,ln,2021 week 8
23,24,net_export,-1e-10,ln,2021 week 8
24,25,net_export,-1e-10,ln,2021 week 8
25,26,net_export,-1e-10,ln,2021 week 8
26,27,net_export,-1e-10,ln,2021 week 8
27,28,net_export,-1e-10,ln,2021 week 8
28,29,net_export,-1e-10,ln,2021 week 8
29,30,net_export,-1e-10,ln,2021 week 8
30,31,net_export,-1e-10,ln,2021 week 8
31,32,net_export,-1e-10,ln,2021 week 8
32,33,net_export,-1e-10,ln,2021 week 8
33,34,net_export,-1e-10,ln,2021 week 8
34,35,net_export,-1e-10,ln,2021 week 8
35,36,net_export,-1e-10,ln,2021 week 8
36,37,net_export,-1e-10,ln,2021 week 8
37,38,net_export,-1e-10,ln,2021 week 8
38,39,net_export,-1e-10,ln,2021 week 8
39,40,net_export,-1e-10,ln,2021 week 8
40,41,net_export,-1e-10,ln,2021 week 8
41,42,net_export,-1e-10,ln,2021 week 8
42,43,net_export,-1e-10,ln,2021 week 8
43,44,net_export,-1e-10,ln,2021 week 8
44,45,net_export,-1e-10,ln,2021 week 8
45,46,net_export,-1e-10,ln,2021 week 8
46,47,net_export,-1e-10,ln,2021 week 8
47,48,net_export,-1e-10,ln,2021 week 8
48,49,net_export,-1e-10,ln,2021 week 8
49,50,net_export,-1e-10,ln,2021 week 8
50,51,net_export,-1e-10,ln,2021 week 8
51,52,net_export,-1e-10,ln,2021 week 8
52,53,net_export,-1e-10,ln,2021 week 8
53,54,net_export,-1e-10,ln,2021 week 8
54,55,net_export,-1e-10,ln,2021 week 8
55,56,net_export,-1e-10,ln,2021 week 8
56,57,net_export,-1e-10,ln,2021 week 8
57,58,net_export,-1e-10,ln,2021 week 8
58,59,net_export,-1e-10,ln,2021 week 8
59,60,net_export,-1e-10,ln,2021 week 8
60,61,net_export,-1e-10,ln,2021 week 8
61,62,net_export,-1e-10,ln,2021 week 8
62,63,net_export,-1e-10,ln,2021 week 8
63,64,net_export,-1e-10,ln,2021 week 8
64,65,net_export,-1e-10,ln,2021 week 8
65,66,net_export,-1e-10,ln,2021 week 8
66,67,net_export,-1e-10,ln,2021 week 8
67,68,net_export,-1e-10,ln,2021 week 8
68,69,net_export,-1e-10,ln,2021 week 8
69,70,net_export,-1e-10,ln,2021 week 8
70,71,net_export,-1e-10,ln,2021 week 8
71,72,net_export,-1e-10,ln,2021 week 8
72,73,net_export,-1e-10,ln,2021 week 8
73,74,net_export,-1e-10,ln,2021 week 8
74,75,net_export,-1e-10,ln,2021 week 8
75,76,net_export,-1e-10,ln,2021 week 8
76,77,net_export,-1e-10,ln,2021 week 8
77,78,net_export,-1e-10,ln,2021 week 8
78,79,net_export,-1e-10,ln,2021 week 8
79,80,net_export,-1e-10,ln,2021 week 8
80,81,net_export,-1e-10,ln,2021 week 8
81,82,net_export,-1e-10,ln,2021 week 8
82,83,net_export,-1e-10,ln,2021 week 8
83,84,net_export,-1e-10,ln,2021 week 8
84,85,net_export,-1e-10,ln,2021 week 8
85,86,net_export,-1e-10,ln,2021 week 8
86,87,net_export,-1e-10,ln,2021 week 8
87,88,net_export,-1e-10,ln,2021 week 8
88,89,net_export,-1e-10,ln,2021 week 8
89,90,net_export,-1e-10,ln,2021 week 8
90,91,net_export,-1e-10,ln,2021 week 8
91,92,net_export,-1e-10,ln,2021 week 8
92,93,net_export,-1e-10,ln,2021 week 8
93,94,net_export,-1e-10,ln,2021 week 8
94,95,net_export,-1e-10,ln,2021 week 8
95,96,net_export,-1e-10,ln,2021 week 8
96,97,net_export,-1e-10,ln,2021 week 8
97,98,net_export,-1e-10,ln,2021 week 8
98,99,net_export,-1e-10,ln,2021 week 8
99,100,net_export,-1e-10,ln,2021 week 8
100,101,net_export,-1e-10,ln,2021 week 8
101,102,net_export,-1e-10,ln,2021 week 8
102,103,net_export,-1e-10,ln,2021 week 8
103,104,net_export,-1e-10,ln,2021 week 8
104,105,net_export,-1e-10,ln,2021 week 8
105,106,net_export,-1e-10,ln,2021 week 8
106,107,net_export,-1e-10,ln,2021 week 8
107,108,net_export,-1e-10,ln,2021 week 8
108,109,net_export,-1e-10,ln,2021 week 8
109,110,net_export,-1e-10,ln,2021 week 8
110,111,net_export,-1e-10,ln,2021 week 8
111,112,net_export,-1e-10,ln,2021 week 8
112,113,net_export,-1e-10,ln,2021 week 8
113,114,net_export,-1e-10,ln,2021 week 8
114,115,net_export,-1e-10,ln,2021 week 8
115,116,net_export,-1e-10,ln,2021 week 8
116,117,net_export,-1e-10,ln,2021 week 8
117,118,net_export,-1e-10,ln,2021 week 8
118,119,net_export,-1e-10,ln,2021 week 8
119,120,net_export,-1e-10,ln,2021 week 8
120,121,net_export,-1e-10,ln,2021 week 8
121,122,net_export,-1e-10,ln,2021 week 8
122,123,net_export,-1e-10,ln,2021 week 8
123,124,net_export,-1e-10,ln,2021 week 8
124,125,net_export,-1e-10,ln,2021 week 8
125,126,net_export,-1e-10,ln,2021 week 8
126,127,net_export,-1e-10,ln,2021 week 8
127,128,net_export,-1e-10,ln,2021 week 8
128,129,net_export,-1e-10,ln,2021 week 8
129,130,net_export,-1e-10,ln,2021 week 8
130,131,net_export,-1e-10,ln,2021 week 8
131,132,net_export,-1e-10,ln,2021 week 8
132,133,net_export,-1e-10,ln,2021 week 8
133,134,net_export,-1e-10,ln,2021 week 8
134,135,net_export,-1e-10,ln,2021 week 8
135,136,net_export,-1e-10,ln,2021 week 8
136,137,net_export,-1e-10,ln,2021 week 8
137,138,net_export,-1e-10,ln,2021 week 8
138,139,net_export,-1e-10,ln,2021 week 8
139,140,net_export,-1e-10,ln,2021 week 8
140,141,net_export,-1e-10,ln,2021 week 8
141,142,net_export,-1e-10,ln,2021 week 8
142,143,net_export,-1e-10,ln,2021 week 8
143,144,net_export,-1e-10,ln,2021 week 8
144,145,net_export,-1e-10,ln,2021 week 8
145,146,net_export,-1e-10,ln,2021 week 8
146,147,net_export,-1e-10,ln,2021 week 8
147,148,net_export,-1e-10,ln,2021 week 8
148,149,net_export,-1e-10,ln,2021 week 8
149,150,net_export,-1e-10,ln,2021 week 8
150,151,net_export,-1e-10,ln,2021 week 8
151,152,net_export,-1e-10,ln,2021 week 8
152,153,net_export,-1e-10,ln,2021 week 8
153,154,net_export,-1e-10,ln,2021 week 8
154,155,net_export,-1e-10,ln,2021 week 8
155,156,net_export,-1e-10,ln,2021 week 8
156,157,net_export,-1e-10,ln,2021 week 8
157,158,net_export,-1e-10,ln,2021 week 8
158,159,net_export,-1e-10,ln,2021 week 8
159,160,net_export,-1e-10,ln,2021 week 8
160,161,net_export,-1e-10,ln,2021 week 8
161,162,net_export,-1e-10,ln,2021 week 8
162,163,net_export,-1e-10,ln,2021 week 8
163,164,net_export,-1e-10,ln,2021 week 8
164,165,net_export,-1e-10,ln,2021 week 8
165,166,net_export,-1e-10,ln,2021 week 8
166,167,net_export,-1e-10,ln,2021 week 8
167,168,net_export,-1e-10,ln,2021 week 8
168,1,charge,-760.9178824976423,ln,2021 week 8
169,2,charge,-819.2587772344843,ln,2021 week 8
170,3,charge,-727.9975234393432,ln,2021 week 8
171,4,charge,-109.96404039237854,ln,2021 week 8
172,5,charge,-930.8930041354702,ln,2021 week 8
173,6,charge,-1e-10,ln,2021 week 8
174,7,charge,-1e-10,ln,2021 week 8
175,8,charge,-1e-10,ln,2021 week 8
176,9,charge,-1e-10,ln,2021 week 8
177,10,charge,-1e-10,ln,2021 week 8
178,11,charge,-1386.5210282981752,ln,2021 week 8
179,12,charge,-1500.0,ln,2021 week 8
180,13,charge,-1500.0,ln,2021 week 8
181,14,charge,-1163.0841999287752,ln,2021 week 8
182,15,charge,-1500.0,ln,2021 week 8
183,16,charge,-794.3223255121748,ln,2021 week 8
184,17,charge,-1e-10,ln,2021 week 8
185,18,charge,-1e-10,ln,2021 week 8
186,19,charge,-1e-10,ln,2021 week 8
187,20,charge,-1e-10,ln,2021 week 8
188,21,charge,-1e-10,ln,2021 week 8
189,22,charge,-1e-10,ln,2021 week 8
190,23,charge,-1e-10,ln,2021 week 8
191,24,charge,-1e-10,ln,2021 week 8
192,25,charge,-1e-10,ln,2021 week 8
193,26,charge,-1e-10,ln,2021 week 8
194,27,charge,-1e-10,ln,2021 week 8
195,28,charge,-1e-10,ln,2021 week 8
196,29,charge,-1e-10,ln,2021 week 8
197,30,charge,-1e-10,ln,2021 week 8
198,31,charge,-1e-10,ln,2021 week 8
199,32,charge,-1e-10,ln,2021 week 8
200,33,charge,-1e-10,ln,2021 week 8
201,34,charge,-1e-10,ln,2021 week 8
202,35,charge,-1e-10,ln,2021 week 8
203,36,charge,-1e-10,ln,2021 week 8
204,37,charge,-1e-10,ln,2021 week 8
205,38,charge,-1e-10,ln,2021 week 8
206,39,charge,-1e-10,ln,2021 week 8
207,40,charge,-1e-10,ln,2021 week 8
208,41,charge,-1e-10,ln,2021 week 8
209,42,charge,-1e-10,ln,2021 week 8
210,43,charge,-1e-10,ln,2021 week 8
211,44,charge,-1e-10,ln,2021 week 8
212,45,charge,-1e-10,ln,2021 week 8
213,46,charge,-1e-10,ln,2021 week 8
214,47,charge,-1e-10,ln,2021 week 8
215,48,charge,-1e-10,ln,2021 week 8
216,49,charge,-1e-10,ln,2021 week 8
217,50,charge,-1e-10,ln,2021 week 8
218,51,charge,-1e-10,ln,2021 week 8
219,52,charge,-1e-10,ln,2021 week 8
220,53,charge,-1e-10,ln,2021 week 8
221,54,charge,-1e-10,ln,2021 week 8
222,55,charge,-1e-10,ln,2021 week 8
223,56,charge,-16.842105263157894,ln,2021 week 8
224,57,charge,-16.842105263157894,ln,2021 week 8
225,58,charge,-1e-10,ln,2021 week 8
226,59,charge,-1e-10,ln,2021 week 8
227,60,charge,-16.842105263157894,ln,2021 week 8
228,61,charge,-16.842105263157894,ln,2021 week 8
229,62,charge,-1e-10,ln,2021 week 8
230,63,charge,-1e-10,ln,2021 week 8
231,64,charge,-1e-10,ln,2021 week 8
232,65,charge,-1e-10,ln,2021 week 8
233,66,charge,-1e-10,ln,2021 week 8
234,67,charge,-1e-10,ln,2021 week 8
235,68,charge,-1e-10,ln,2021 week 8
236,69,charge,-1e-10,ln,2021 week 8
237,70,charge,-1e-10,ln,2021 week 8
238,71,charge,-1e-10,ln,2021 week 8
239,72,charge,-1e-10,ln,2021 week 8
240,73,charge,-1e-10,ln,2021 week 8
241,74,charge,-1e-10,ln,2021 week 8
242,75,charge,-1e-10,ln,2021 week 8
243,76,charge,-1e-10,ln,2021 week 8
244,77,charge,-1e-10,ln,2021 week 8
245,78,charge,-1e-10,ln,2021 week 8
246,79,charge,-1e-10,ln,2021 week 8
247,80,charge,-1e-10,ln,2021 week 8
248,81,charge,-1e-10,ln,2021 week 8
249,82,charge,-1e-10,ln,2021 week 8
250,83,charge,-1e-10,ln,2021 week 8
251,84,charge,-1e-10,ln,2021 week 8
252,85,charge,-903.1062587587772,ln,2021 week 8
253,86,charge,-1037.0900687587762,ln,2021 week 8
254,87,charge,-1321.236236012177,ln,2021 week 8
255,88,charge,-341.3019377831247,ln,2021 week 8
256,89,charge,-1e-10,ln,2021 week 8
257,90,charge,-998.2769955121772,ln,2021 week 8
258,91,charge,-1092.6411955121764,ln,2021 week 8
259,92,charge,-1e-10,ln,2021 week 8
260,93,charge,-1e-10,ln,2021 week 8
261,94,charge,-1e-10,ln,2021 week 8
262,95,charge,-1e-10,ln,2021 week 8
263,96,charge,-1e-10,ln,2021 week 8
264,97,charge,-1e-10,ln,2021 week 8
265,98,charge,-1e-10,ln,2021 week 8
266,99,charge,-1e-10,ln,2021 week 8
267,100,charge,-1e-10,ln,2021 week 8
268,101,charge,-1e-10,ln,2021 week 8
269,102,charge,-1e-10,ln,2021 week 8
270,103,charge,-1e-10,ln,2021 week 8
271,104,charge,-1e-10,ln,2021 week 8
272,105,charge,-1e-10,ln,2021 week 8
273,106,charge,-1e-10,ln,2021 week 8
274,107,charge,-1e-10,ln,2021 week 8
275,108,charge,-1e-10,ln,2021 week 8
276,109,charge,-1e-10,ln,2021 week 8
277,110,charge,-1e-10,ln,2021 week 8
278,111,charge,-1e-10,ln,2021 week 8
279,112,charge,-1e-10,ln,2021 week 8
280,113,charge,-1e-10,ln,2021 week 8
281,114,charge,-1e-10,ln,2021 week 8
282,115,charge,-1e-10,ln,2021 week 8
283,116,charge,-1e-10,ln,2021 week 8
284,117,charge,-1e-10,ln,2021 week 8
285,118,charge,-1e-10,ln,2021 week 8
286,119,charge,-1e-10,ln,2021 week 8
287,120,charge,-1e-10,ln,2021 week 8
288,121,charge,-1e-10,ln,2021 week 8
289,122,charge,-1e-10,ln,2021 week 8
290,123,charge,-1e-10,ln,2021 week 8
291,124,charge,-1e-10,ln,2021 week 8
292,125,charge,-1e-10,ln,2021 week 8
293,126,charge,-1e-10,ln,2021 week 8
294,127,charge,-1e-10,ln,2021 week 8
295,128,charge,-1e-10,ln,2021 week 8
296,129,charge,-1e-10,ln,2021 week 8
297,130,charge,-1e-10,ln,2021 week 8
298,131,charge,-1e-10,ln,2021 week 8
299,132,charge,-1e-10,ln,2021 week 8
300,133,charge,-1e-10,ln,2021 week 8
301,134,charge,-1e-10,ln,2021 week 8
302,135,charge,-1e-10,ln,2021 week 8
303,136,charge,-1e-10,ln,2021 week 8
304,137,charge,-1e-10,ln,2021 week 8
305,138,charge,-1e-10,ln,2021 week 8
306,139,charge,-1e-10,ln,2021 week 8
307,140,charge,-1e-10,ln,2021 week 8
308,141,charge,-1e-10,ln,2021 week 8
309,142,charge,-1e-10,ln,2021 week 8
310,143,charge,-1e-10,ln,2021 week 8
311,144,charge,-1e-10,ln,2021 week 8
312,145,charge,-16.842105263157894,ln,2021 week 8
313,146,charge,-14.44410509882025,ln,2021 week 8
314,147,charge,-1e-10,ln,2021 week 8
315,148,charge,-1e-10,ln,2021 week 8
316,149,charge,-1e-10,ln,2021 week 8
317,150,charge,-2.3980001643376454,ln,2021 week 8
318,151,charge,-16.842105263157894,ln,2021 week 8
319,152,charge,-16.842105263157894,ln,2021 week 8
320,153,charge,-1e-10,ln,2021 week 8
321,154,charge,-1e-10,ln,2021 week 8
322,155,charge,-1e-10,ln,2021 week 8
323,156,charge,-1e-10,ln,2021 week 8
324,157,charge,-1e-10,ln,2021 week 8
325,158,charge,-1e-10,ln,2021 week 8
326,159,charge,-1e-10,ln,2021 week 8
327,160,charge,-1e-10,ln,2021 week 8
328,161,charge,-1e-10,ln,2021 week 8
329,162,charge,-1e-10,ln,2021 week 8
330,163,charge,-1e-10,ln,2021 week 8
331,164,charge,-1e-10,ln,2021 week 8
332,165,charge,-1e-10,ln,2021 week 8
333,166,charge,-1e-10,ln,2021 week 8
334,167,charge,-1e-10,ln,2021 week 8
335,168,charge,-1e-10,ln,2021 week 8
336,1,nuclear,5305.0,ln,2021 week 8
337,2,nuclear,5305.0,ln,2021 week 8
338,3,nuclear,5305.0,ln,2021 week 8
339,4,nuclear,5305.0,ln,2021 week 8
340,5,nuclear,5305.0,ln,2021 week 8
341,6,nuclear,5305.0,ln,2021 week 8
342,7,nuclear,5305.0,ln,2021 week 8
343,8,nuclear,5305.0,ln,2021 week 8
344,9,nuclear,5305.0,ln,2021 week 8
345,10,nuclear,5305.0,ln,2021 week 8
346,11,nuclear,5305.0,ln,2021 week 8
347,12,nuclear,5305.0,ln,2021 week 8
348,13,nuclear,5305.0,ln,2021 week 8
349,14,nuclear,5305.0,ln,2021 week 8
350,15,nuclear,5305.0,ln,2021 week 8
351,16,nuclear,5305.0,ln,2021 week 8
352,17,nuclear,5305.0,ln,2021 week 8
353,18,nuclear,5305.0,ln,2021 week 8
354,19,nuclear,5305.0,ln,2021 week 8
355,20,nuclear,5305.0,ln,2021 week 8
356,21,nuclear,5305.0,ln,2021 week 8
357,22,nuclear,5305.0,ln,2021 week 8
358,23,nuclear,5305.0,ln,2021 week 8
359,24,nuclear,5305.0,ln,2021 week 8
360,25,nuclear,5305.0,ln,2021 week 8
361,26,nuclear,5305.0,ln,2021 week 8
362,27,nuclear,5305.0,ln,2021 week 8
363,28,nuclear,5305.0,ln,2021 week 8
364,29,nuclear,5305.0,ln,2021 week 8
365,30,nuclear,5305.0,ln,2021 week 8
366,31,nuclear,5305.0,ln,2021 week 8
367,32,nuclear,5305.0,ln,2021 week 8
368,33,nuclear,5305.0,ln,2021 week 8
369,34,nuclear,5305.0,ln,2021 week 8
370,35,nuclear,5305.0,ln,2021 week 8
371,36,nuclear,5305.0,ln,2021 week 8
372,37,nuclear,5305.0,ln,2021 week 8
373,38,nuclear,5305.0,ln,2021 week 8
374,39,nuclear,5305.0,ln,2021 week 8
375,40,nuclear,5305.0,ln,2021 week 8
376,41,nuclear,5305.0,ln,2021 week 8
377,42,nuclear,5305.0,ln,2021 week 8
378,43,nuclear,5305.0,ln,2021 week 8
379,44,nuclear,5305.0,ln,2021 week 8
380,45,nuclear,5305.0,ln,2021 week 8
381,46,nuclear,5305.0,ln,2021 week 8
382,47,nuclear,5305.0,ln,2021 week 8
383,48,nuclear,5305.0,ln,2021 week 8
384,49,nuclear,5305.0,ln,2021 week 8
385,50,nuclear,5305.0,ln,2021 week 8
386,51,nuclear,5305.0,ln,2021 week 8
387,52,nuclear,5305.0,ln,2021 week 8
388,53,nuclear,5305.0,ln,2021 week 8
389,54,nuclear,5305.0,ln,2021 week 8
390,55,nuclear,5305.0,ln,2021 week 8
391,56,nuclear,5305.0,ln,2021 week 8
392,57,nuclear,4755.148115060936,ln,2021 week 8
393,58,nuclear,5305.0,ln,2021 week 8
394,59,nuclear,5305.0,ln,2021 week 8
395,60,nuclear,4830.640836394936,ln,2021 week 8
396,61,nuclear,4462.386235072455,ln,2021 week 8
397,62,nuclear,5305.0,ln,2021 week 8
398,63,nuclear,5305.0,ln,2021 week 8
399,64,nuclear,5305.0,ln,2021 week 8
400,65,nuclear,5305.0,ln,2021 week 8
401,66,nuclear,5305.0,ln,2021 week 8
402,67,nuclear,5305.0,ln,2021 week 8
403,68,nuclear,5305.0,ln,2021 week 8
404,69,nuclear,5305.0,ln,2021 week 8
405,70,nuclear,5305.0,ln,2021 week 8
406,71,nuclear,5305.0,ln,2021 week 8
407,72,nuclear,5305.0,ln,2021 week 8
408,73,nuclear,5305.0,ln,2021 week 8
409,74,nuclear,5305.0,ln,2021 week 8
410,75,nuclear,5305.0,ln,2021 week 8
411,76,nuclear,5305.0,ln,2021 week 8
412,77,nuclear,5305.0,ln,2021 week 8
413,78,nuclear,5305.0,ln,2021 week 8
414,79,nuclear,5305.0,ln,2021 week 8
415,80,nuclear,5305.0,ln,2021 week 8
416,81,nuclear,5305.0,ln,2021 week 8
417,82,nuclear,5305.0,ln,2021 week 8
418,83,nuclear,5305.0,ln,2021 week 8
419,84,nuclear,5305.0,ln,2021 week 8
420,85,nuclear,5305.0,ln,2021 week 8
421,86,nuclear,5305.0,ln,2021 week 8
422,87,nuclear,5305.0,ln,2021 week 8
423,88,nuclear,5305.0,ln,2021 week 8
424,89,nuclear,5305.0,ln,2021 week 8
425,90,nuclear,5305.0,ln,2021 week 8
426,91,nuclear,5305.0,ln,2021 week 8
427,92,nuclear,5305.0,ln,2021 week 8
428,93,nuclear,5305.0,ln,2021 week 8
429,94,nuclear,5305.0,ln,2021 week 8
430,95,nuclear,5305.0,ln,2021 week 8
431,96,nuclear,5305.0,ln,2021 week 8
432,97,nuclear,5305.0,ln,2021 week 8
433,98,nuclear,5305.0,ln,2021 week 8
434,99,nuclear,5305.0,ln,2021 week 8
435,100,nuclear,5305.0,ln,2021 week 8
436,101,nuclear,5305.0,ln,2021 week 8
437,102,nuclear,5305.0,ln,2021 week 8
438,103,nuclear,5305.0,ln,2021 week 8
439,104,nuclear,5305.0,ln,2021 week 8
440,105,nuclear,5305.0,ln,2021 week 8
441,106,nuclear,5305.0,ln,2021 week 8
442,107,nuclear,5305.0,ln,2021 week 8
443,108,nuclear,5305.0,ln,2021 week 8
444,109,nuclear,5305.0,ln,2021 week 8
445,110,nuclear,5305.0,ln,2021 week 8
446,111,nuclear,5305.0,ln,2021 week 8
447,112,nuclear,5305.0,ln,2021 week 8
448,113,nuclear,5305.0,ln,2021 week 8
449,114,nuclear,5305.0,ln,2021 week 8
450,115,nuclear,5305.0,ln,2021 week 8
451,116,nuclear,5305.0,ln,2021 week 8
452,117,nuclear,5305.0,ln,2021 week 8
453,118,nuclear,5305.0,ln,2021 week 8
454,119,nuclear,5305.0,ln,2021 week 8
455,120,nuclear,5305.0,ln,2021 week 8
456,121,nuclear,5305.0,ln,2021 week 8
457,122,nuclear,5305.0,ln,2021 week 8
458,123,nuclear,5305.0,ln,2021 week 8
459,124,nuclear,5305.0,ln,2021 week 8
460,125,nuclear,5305.0,ln,2021 week 8
461,126,nuclear,5305.0,ln,2021 week 8
462,127,nuclear,5305.0,ln,2021 week 8
463,128,nuclear,5305.0,ln,2021 week 8
464,129,nuclear,5305.0,ln,2021 week 8
465,130,nuclear,5305.0,ln,2021 week 8
466,131,nuclear,5305.0,ln,2021 week 8
467,132,nuclear,5305.0,ln,2021 week 8
468,133,nuclear,5305.0,ln,2021 week 8
469,134,nuclear,5305.0,ln,2021 week 8
470,135,nuclear,5305.0,ln,2021 week 8
471,136,nuclear,5305.0,ln,2021 week 8
472,137,nuclear,5305.0,ln,2021 week 8
473,138,nuclear,5305.0,ln,2021 week 8
474,139,nuclear,5305.0,ln,2021 week 8
475,140,nuclear,5305.0,ln,2021 week 8
476,141,nuclear,5305.0,ln,2021 week 8
477,142,nuclear,5305.0,ln,2021 week 8
478,143,nuclear,5305.0,ln,2021 week 8
479,144,nuclear,5305.0,ln,2021 week 8
480,145,nuclear,5305.0,ln,2021 week 8
481,146,nuclear,4479.910842288931,ln,2021 week 8
482,147,nuclear,3100.7750665761096,ln,2021 week 8
483,148,nuclear,4310.68199187566,ln,2021 week 8
484,149,nuclear,4288.941991875658,ln,2021 week 8
485,150,nuclear,4562.3,ln,2021 week 8
486,151,nuclear,5305.0,ln,2021 week 8
487,152,nuclear,5074.112396146631,ln,2021 week 8
488,153,nuclear,5305.0,ln,2021 week 8
489,154,nuclear,5305.0,ln,2021 week 8
490,155,nuclear,5305.0,ln,2021 week 8
491,156,nuclear,5305.0,ln,2021 week 8
492,157,nuclear,5305.0,ln,2021 week 8
493,158,nuclear,5305.0,ln,2021 week 8
494,159,nuclear,5305.0,ln,2021 week 8
495,160,nuclear,5305.0,ln,2021 week 8
496,161,nuclear,5305.0,ln,2021 week 8
497,162,nuclear,5305.0,ln,2021 week 8
498,163,nuclear,5305.0,ln,2021 week 8
499,164,nuclear,5305.0,ln,2021 week 8
500,165,nuclear,5305.0,ln,2021 week 8
501,166,nuclear,5305.0,ln,2021 week 8
502,167,nuclear,5305.0,ln,2021 week 8
503,168,nuclear,5305.0,ln,2021 week 8
504,1,coal,12896.713620570936,ln,2021 week 8
505,2,coal,13002.222113985295,ln,2021 week 8
506,3,coal,12854.145019248452,ln,2021 week 8
507,4,coal,12782.188177143187,ln,2021 week 8
508,5,coal,12430.215019248451,ln,2021 week 8
509,6,coal,12297.490682060296,ln,2021 week 8
510,7,coal,13213.247983382778,ln,2021 week 8
511,8,coal,13605.405065878422,ln,2021 week 8
512,9,coal,14848.681779473774,ln,2021 week 8
513,10,coal,14996.401152284328,ln,2021 week 8
514,11,coal,15562.8,ln,2021 week 8
515,12,coal,14842.8,ln,2021 week 8
516,13,coal,14723.345472369294,ln,2021 week 8
517,14,coal,14904.41169779629,ln,2021 week 8
518,15,coal,15470.103397796294,ln,2021 week 8
519,16,coal,16490.654599118774,ln,2021 week 8
520,17,coal,17450.848801142136,ln,2021 week 8
521,18,coal,17706.65910114214,ln,2021 week 8
522,19,coal,17418.875,ln,2021 week 8
523,20,coal,17595.753924937344,ln,2021 week 8
524,21,coal,17598.875,ln,2021 week 8
525,22,coal,17238.875,ln,2021 week 8
526,23,coal,17022.18088,ln,2021 week 8
527,24,coal,15089.925,ln,2021 week 8
528,25,coal,13515.05,ln,2021 week 8
529,26,coal,13010.175,ln,2021 week 8
530,27,coal,12743.606571425293,ln,2021 week 8
531,28,coal,13175.55,ln,2021 week 8
532,29,coal,13550.925,ln,2021 week 8
533,30,coal,14586.506967758867,ln,2021 week 8
534,31,coal,15692.425,ln,2021 week 8
535,32,coal,15034.008643820778,ln,2021 week 8
536,33,coal,16373.375437106668,ln,2021 week 8
537,34,coal,15796.425,ln,2021 week 8
538,35,coal,15648.559843820774,ln,2021 week 8
539,36,coal,13107.80065,ln,2021 week 8
540,37,coal,11828.927871425292,ln,2021 week 8
541,38,coal,10966.729842498293,ln,2021 week 8
542,39,coal,10143.875,ln,2021 week 8
543,40,coal,10855.69274382078,ln,2021 week 8
544,41,coal,10979.612702726572,ln,2021 week 8
545,42,coal,10924.81453011414,ln,2021 week 8
546,43,coal,10317.729430114136,ln,2021 week 8
547,44,coal,10794.854830114138,ln,2021 week 8
